measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,209,Guinea-Bissau,3,Both,22,All ages,294,All causes,1,Number,1999,18407.11183660669,20302.17831266024,16429.42301901364
1,Deaths,113,Guyana,3,Both,22,All ages,294,All causes,1,Number,2019,6683.802439725893,8287.306193963796,5339.184834473753
1,Deaths,114,Haiti,3,Both,22,All ages,294,All causes,1,Number,2010,319264.3676822348,346535.19258741825,296019.1367655956
1,Deaths,129,Honduras,3,Both,22,All ages,294,All causes,1,Number,2015,53528.56827718144,60199.06168313602,47795.02284730846
1,Deaths,48,Hungary,3,Both,22,All ages,294,All causes,1,Number,1993,148254.0155048868,149425.24214261334,147106.87013711347
1,Deaths,83,Iceland,3,Both,22,All ages,294,All causes,1,Number,2019,2113.289360784725,2286.7176167645725,1967.843081977644
1,Deaths,163,India,3,Both,22,All ages,294,All causes,1,Number,2019,9391548.568553245,10425633.726028414,8429791.21835516
1,Deaths,11,Indonesia,3,Both,22,All ages,294,All causes,1,Number,2019,1705894.6514754454,1886967.7970010948,1480241.1191736737
1,Deaths,142,Iran (Islamic Republic of),3,Both,22,All ages,294,All causes,1,Number,2019,391113.12281019,402131.9076423721,381512.5963918129
1,Deaths,143,Iraq,3,Both,22,All ages,294,All causes,1,Number,2014,197596.0293496042,230463.94001353777,167562.54135492898
1,Deaths,84,Ireland,3,Both,22,All ages,294,All causes,1,Number,2019,32354.41954459771,33434.79108968936,31354.519728609062
1,Deaths,85,Israel,3,Both,22,All ages,294,All causes,1,Number,2019,47925.32917294949,49151.13254981707,46793.156619385736
1,Deaths,86,Italy,3,Both,22,All ages,294,All causes,1,Number,2019,642341.6447353928,647782.7071823623,636810.8551967413
1,Deaths,115,Jamaica,3,Both,22,All ages,294,All causes,1,Number,2019,19657.68706803492,23631.218560271893,16302.445140931832
1,Deaths,67,Japan,3,Both,22,All ages,294,All causes,1,Number,2019,1400012.509225905,1412929.700209009,1387141.9290833557
1,Deaths,144,Jordan,3,Both,22,All ages,294,All causes,1,Number,2019,32264.88942526256,37638.54185423353,27963.59720697977
1,Deaths,36,Kazakhstan,3,Both,22,All ages,294,All causes,1,Number,2006,166558.6574711572,171850.75934603807,161609.65593624735
1,Deaths,180,Kenya,3,Both,22,All ages,294,All causes,1,Number,2004,345345.5419312825,377515.9247306654,315216.2089691475
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,1,Number,2018,1221.7518786497296,1438.0622098677609,1030.2069154184137
1,Deaths,145,Kuwait,3,Both,22,All ages,294,All causes,1,Number,2019,10012.899610254162,11621.043297252623,8650.263627773193
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,294,All causes,1,Number,2006,40617.44474043933,41047.05767231602,40178.16944276518
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,294,All causes,1,Number,1990,58912.71813432843,65809.92998285111,52511.62703237458
1,Deaths,59,Latvia,3,Both,22,All ages,294,All causes,1,Number,1994,41523.51155565798,42233.88914489136,40819.838427129886
1,Deaths,146,Lebanon,3,Both,22,All ages,294,All causes,1,Number,2018,34340.46754299737,39497.75755610157,30942.54414190388
1,Deaths,194,Lesotho,3,Both,22,All ages,294,All causes,1,Number,2005,40818.51496785362,47102.25676340713,35549.12161462811
1,Deaths,210,Liberia,3,Both,22,All ages,294,All causes,1,Number,1996,40812.89186518045,44764.37217507884,37495.85739659143
1,Deaths,147,Libya,3,Both,22,All ages,294,All causes,1,Number,2016,32276.53621883318,36684.17727888638,28453.210599529422
1,Deaths,60,Lithuania,3,Both,22,All ages,294,All causes,1,Number,1994,46253.22343895652,46999.60742721403,45515.72658057323
1,Deaths,87,Luxembourg,3,Both,22,All ages,294,All causes,1,Number,2019,4147.237839110398,4580.693480321475,3785.225519520839
1,Deaths,181,Madagascar,3,Both,22,All ages,294,All causes,1,Number,2019,164160.88513254706,196919.08208086825,135284.23430017932
1,Deaths,182,Malawi,3,Both,22,All ages,294,All causes,1,Number,1999,197956.14629851808,220160.64918958352,177564.97269431577
1,Deaths,13,Malaysia,3,Both,22,All ages,294,All causes,1,Number,2019,175875.78395332478,212675.065579226,144971.94400079158
1,Deaths,14,Maldives,3,Both,22,All ages,294,All causes,1,Number,2019,1501.8045576841932,1714.0982606883465,1311.0210150964745
1,Deaths,211,Mali,3,Both,22,All ages,294,All causes,1,Number,2019,201432.9273819016,248581.00420914937,165253.78153246664
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,1,Number,2019,3780.267653919691,4103.015509495838,3479.9872611942747
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,1,Number,2019,422.3923437942432,527.7069559364123,339.86264626573643
1,Deaths,212,Mauritania,3,Both,22,All ages,294,All causes,1,Number,1994,22882.20874084801,24789.9766964298,20904.732311667784
1,Deaths,183,Mauritius,3,Both,22,All ages,294,All causes,1,Number,2019,10713.361590867971,12806.764180184997,8943.077949399214
1,Deaths,130,Mexico,3,Both,22,All ages,294,All causes,1,Number,2019,738424.8312869875,827652.5288224021,654731.3368956706
1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,294,All causes,1,Number,2019,939.2551656976888,1133.928369785265,770.3781222731063
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,1,Number,2013,528.0153407920773,571.5701778787786,469.88405421114
1,Deaths,38,Mongolia,3,Both,22,All ages,294,All causes,1,Number,2019,24859.01468442521,31148.560418993035,19992.867049724347
1,Deaths,50,Montenegro,3,Both,22,All ages,294,All causes,1,Number,2017,6933.597620403889,7519.548274302665,6393.290939777922
1,Deaths,148,Morocco,3,Both,22,All ages,294,All causes,1,Number,2019,228124.41271615468,261259.5419127935,187836.9200610295
1,Deaths,184,Mozambique,3,Both,22,All ages,294,All causes,1,Number,2013,287227.2356953609,321031.74482781603,256014.2707467684
1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,1,Number,2008,600853.091555617,662019.048512683,543176.5915701982
1,Deaths,195,Namibia,3,Both,22,All ages,294,All causes,1,Number,2003,26395.553595593978,30300.57661201604,22974.09177178848
1,Deaths,369,Nauru,3,Both,22,All ages,294,All causes,1,Number,2002,90.54438114283354,104.462361978898,77.49205834232124
1,Deaths,164,Nepal,3,Both,22,All ages,294,All causes,1,Number,1990,221990.8367057797,244051.8342146772,203890.5154758304
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,1,Number,2019,157008.22792473403,160662.44614392455,153604.12751452223
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,1,Number,2019,34498.119931331625,35031.32934787988,33971.01762226699
1,Deaths,131,Nicaragua,3,Both,22,All ages,294,All causes,1,Number,2019,29196.319983829795,33583.89063591302,24886.37451013456
1,Deaths,213,Niger,3,Both,22,All ages,294,All causes,1,Number,2019,202621.3349684557,249352.96167669448,166137.43951152833
1,Deaths,214,Nigeria,3,Both,22,All ages,294,All causes,1,Number,2004,1785608.1335555965,1923021.617218131,1645110.972896713
